track_name,artist_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
Beam Me Up,Go Back To The Zoo,spotify:track:3oMbmrQ7zU9g6z9E4ahmJI,0.548,0.737,9,-5.88,1,0.036,0.00209,0.0,0.0469,0.659,144.032,audio_features,3oMbmrQ7zU9g6z9E4ahmJI,https://api.spotify.com/v1/tracks/3oMbmrQ7zU9g6z9E4ahmJI,https://api.spotify.com/v1/audio-analysis/3oMbmrQ7zU9g6z9E4ahmJI,153453,4
Bensonhurst Blues,Oscar Benton,spotify:track:46GcVsCC866RHTxhcbvrG6,0.591,0.376,10,-12.518,0,0.0567,0.595,2.38e-05,0.106,0.748,121.127,audio_features,46GcVsCC866RHTxhcbvrG6,https://api.spotify.com/v1/tracks/46GcVsCC866RHTxhcbvrG6,https://api.spotify.com/v1/audio-analysis/46GcVsCC866RHTxhcbvrG6,218400,4
Bentley's Gonna Sort You Out,Bentley Rhythm Ace,spotify:track:6zkzVqF9cR4uHYyytxQ8Dz,0.7,0.935,10,-8.774,0,0.0408,0.0456,0.831,0.347,0.811,103.984,audio_features,6zkzVqF9cR4uHYyytxQ8Dz,https://api.spotify.com/v1/tracks/6zkzVqF9cR4uHYyytxQ8Dz,https://api.spotify.com/v1/audio-analysis/6zkzVqF9cR4uHYyytxQ8Dz,307400,4
A Walk In The Dark,Whitey,spotify:track:3SnOzhaSj50ubJVdN2Il9o,0.712,0.723,1,-8.967,1,0.0389,0.000443,0.752,0.103,0.698,133.004,audio_features,3SnOzhaSj50ubJVdN2Il9o,https://api.spotify.com/v1/tracks/3SnOzhaSj50ubJVdN2Il9o,https://api.spotify.com/v1/audio-analysis/3SnOzhaSj50ubJVdN2Il9o,328800,4
Nothing Rhymed,Gilbert O'Sullivan,spotify:track:64lTjU6uFgaOv6qyoGtj11,0.251,0.568,3,-8.817,1,0.0445,0.471,2.77e-06,0.102,0.502,175.918,audio_features,64lTjU6uFgaOv6qyoGtj11,https://api.spotify.com/v1/tracks/64lTjU6uFgaOv6qyoGtj11,https://api.spotify.com/v1/audio-analysis/64lTjU6uFgaOv6qyoGtj11,203760,3
St. Petersburg,Bersarin Quartett,spotify:track:2WwF79f0uIhTTnTcgnUCyj,0.282,0.661,4,-10.357,0,0.0422,0.777,0.936,0.115,0.189,150.006,audio_features,2WwF79f0uIhTTnTcgnUCyj,https://api.spotify.com/v1/tracks/2WwF79f0uIhTTnTcgnUCyj,https://api.spotify.com/v1/audio-analysis/2WwF79f0uIhTTnTcgnUCyj,316147,3
Open Your Eyes,Guano Apes,spotify:track:2XZrTdeKze2V9nWueft63G,0.639,0.954,4,-4.939,0,0.0962,0.00515,0.0,0.324,0.412,111.54,audio_features,2XZrTdeKze2V9nWueft63G,https://api.spotify.com/v1/tracks/2XZrTdeKze2V9nWueft63G,https://api.spotify.com/v1/audio-analysis/2XZrTdeKze2V9nWueft63G,186707,4
The Rose,Bette Midler,spotify:track:7iLXXTLIaguiWCTRJNU1Tv,0.186,0.0971,0,-13.002,1,0.0342,0.94,0.0,0.122,0.0745,65.776,audio_features,7iLXXTLIaguiWCTRJNU1Tv,https://api.spotify.com/v1/tracks/7iLXXTLIaguiWCTRJNU1Tv,https://api.spotify.com/v1/audio-analysis/7iLXXTLIaguiWCTRJNU1Tv,215027,5
Jerry & Otis,Mairearad and Anna,spotify:track:1EkjxrCJ96LHEdRnNwmuGf,0.703,0.597,2,-7.766,1,0.0382,0.853,0.048,0.0394,0.925,124.034,audio_features,1EkjxrCJ96LHEdRnNwmuGf,https://api.spotify.com/v1/tracks/1EkjxrCJ96LHEdRnNwmuGf,https://api.spotify.com/v1/audio-analysis/1EkjxrCJ96LHEdRnNwmuGf,191791,4
Best Dressed Chicken in Town,Dr. Alimantado,spotify:track:686IA48fqqEATH0lCjTz7a,0.859,0.565,1,-9.371,0,0.441,0.0473,0.0022,0.194,0.67,131.34,audio_features,686IA48fqqEATH0lCjTz7a,https://api.spotify.com/v1/tracks/686IA48fqqEATH0lCjTz7a,https://api.spotify.com/v1/audio-analysis/686IA48fqqEATH0lCjTz7a,163515,4
"Yes Sir, I Can Boogie",Baccara,spotify:track:1UNP66Mr3sPB3ItYt5bEUe,0.468,0.817,2,-6.147,1,0.0978,0.0739,2.23e-06,0.0997,0.493,122.787,audio_features,1UNP66Mr3sPB3ItYt5bEUe,https://api.spotify.com/v1/tracks/1UNP66Mr3sPB3ItYt5bEUe,https://api.spotify.com/v1/audio-analysis/1UNP66Mr3sPB3ItYt5bEUe,275200,4
I'm Into Something Good,Herman's Hermits,spotify:track:4MD2TR2OF1Ruiaiiy1Rr37,0.587,0.332,0,-12.301,1,0.0331,0.64,0.0,0.203,0.696,133.461,audio_features,4MD2TR2OF1Ruiaiiy1Rr37,https://api.spotify.com/v1/tracks/4MD2TR2OF1Ruiaiiy1Rr37,https://api.spotify.com/v1/audio-analysis/4MD2TR2OF1Ruiaiiy1Rr37,155667,4
Yeke Yeke,Mory Kanté,spotify:track:6clkTQW6BTwJxLQjH6WBVj,0.67,0.92,8,-5.479,1,0.0435,0.0737,0.0108,0.378,0.585,125.802,audio_features,6clkTQW6BTwJxLQjH6WBVj,https://api.spotify.com/v1/tracks/6clkTQW6BTwJxLQjH6WBVj,https://api.spotify.com/v1/audio-analysis/6clkTQW6BTwJxLQjH6WBVj,236693,4
Shouldn't Have To Be Like That,Fra Lippo Lippi,spotify:track:7gzNQOQAGWimqCzNRvngci,0.716,0.58,9,-10.275,0,0.0305,0.264,0.201,0.0589,0.694,115.953,audio_features,7gzNQOQAGWimqCzNRvngci,https://api.spotify.com/v1/tracks/7gzNQOQAGWimqCzNRvngci,https://api.spotify.com/v1/audio-analysis/7gzNQOQAGWimqCzNRvngci,230787,4
